"","區域名","里數","鄰數","戶數","人口數","男","女","年月","地區"
"326"," 鹿草鄉",15,255,5820,16384,8771,7613,103.12,"嘉義縣"
"327"," 水上鄉",26,409,17834,50726,26176,24550,103.12,"嘉義縣"
"328"," 中埔鄉",22,375,15945,46156,24039,22117,103.12,"嘉義縣"
"329"," 竹崎鄉",24,407,11592,36924,19704,17220,103.12,"嘉義縣"
"330"," 梅山鄉",18,200,6762,20304,10782,9522,103.12,"嘉義縣"
"331"," 番路鄉",11,115,4304,12089,6537,5552,103.12,"嘉義縣"
"332"," 大埔鄉",5,49,1943,4658,2427,2231,103.12,"嘉義縣"
"333"," 阿里山鄉",12,78,1955,5764,3057,2707,103.12,"嘉義縣"
"334"," 嘉義縣",357,5347,181969,519839,270681,249158,104.12,"嘉義縣"
"335"," 太保市",18,250,12381,37212,19146,18066,104.12,"嘉義縣"
"336"," 朴子市",27,414,15548,42956,21776,21180,104.12,"嘉義縣"
"337"," 布袋鎮",23,375,10041,27954,14300,13654,104.12,"嘉義縣"
"338"," 大林鎮",21,317,11378,31697,16244,15453,104.12,"嘉義縣"
"339"," 民雄鄉",28,522,24391,71862,36795,35067,104.12,"嘉義縣"
"340"," 溪口鄉",14,205,5387,15113,8073,7040,104.12,"嘉義縣"
"341"," 新港鄉",23,380,10637,32797,17311,15486,104.12,"嘉義縣"
"342"," 六腳鄉",25,328,8985,24202,12860,11342,104.12,"嘉義縣"
"343"," 東石鄉",23,357,9366,25751,13653,12098,104.12,"嘉義縣"
